post_id,title,category,score,num_comments,author,collected_at
49499867,Haiku R1/beta6 has been released,technology,32,6,metrofun,2026-08-30 22:09:33.686935
49496918,Arbitrary code execution in QubesOS via copy-to-VM error reporting backchannel,technology,146,61,vntok,2026-08-30 22:09:33.686935
49496782,Longest Straight Line Paths on Water or Land on the Earth (2018),technology,161,48,joebig,2026-08-30 22:09:33.686935
49419381,What my dad taught me about AI coding in the 90s,technology,75,39,askmike,2026-08-30 22:09:33.686935
49498095,No AI Fridays,technology,228,121,xendo,2026-08-30 22:09:33.686935
49426995,SQLite as a Document Database (2020),technology,244,56,lioeters,2026-08-30 22:09:33.686935
49497334,What We Tell AI,technology,10,0,thm,2026-08-30 22:09:33.686935
49494182,Lawmakers added $1 to car insurance policies. That money paid for Flock cameras,technology,381,279,DeepLogin,2026-08-30 22:09:33.686935
49497357,Fair Work Commission condemns 'plain wrong' AI legal advice,technology,53,24,martyvis,2026-08-30 22:09:33.686935
49494571,Open Oscar Server: open-source server compatible with AIM and ICQ clients,technology,51,18,gregsadetsky,2026-08-30 22:09:33.686935
49491568,"Good Culture Is the Biggest Productivity Hack, Not AI",technology,423,107,gpi,2026-08-30 22:09:33.686935
49486081,"StemDeck, a free, open-source and local AI stem separator",technology,235,61,thclpr,2026-08-30 22:09:33.686935
49497540,He Did Not Conquer: Franklin's Failure to Annex Canada,technology,5,0,Bluestein,2026-08-30 22:09:33.686935
49498002,Leak of Internal Valve Data,technology,16,4,thispbowden,2026-08-30 22:09:33.686935
49497996,The shrinking landscape of linguistic diversity in the age of LLMs,technology,14,2,Anon84,2026-08-30 22:09:33.686935
49497404,Berlin is being blackmailed by hackers,technology,5,0,dudefeliciano,2026-08-30 22:09:33.686935
49492584,Domain-Driven Agents,technology,90,20,AlarQ,2026-08-30 22:09:33.686935
49498133,Nobody Told Me People Still Code New Games for a 1982 Computer,technology,12,5,01-_-,2026-08-30 22:09:33.686935
49420524,"Show HN: Galaxium, an experimental WebGPU space explorer",technology,126,37,guillaumec,2026-08-30 22:09:33.686935
49479072,Verschlimmbesserung: The Word Your Software Updates Need,technology,177,120,speckx,2026-08-30 22:09:33.686935
49477854,U.S. sanctions against the A/I Collective,technology,704,762,exiguus,2026-08-30 22:09:33.686935
49485416,I accidentally turned LLM memory into program analysis,technology,298,80,matt_d,2026-08-30 22:09:33.686935
49495845,The Internet Archive's Vintage AI Collection,technology,23,1,OuterVale,2026-08-30 22:09:33.686935
49491714,Calibrate Before You Accelerate: Bias Toward Action in a New Role,worldnews,169,71,tuckerwales,2026-08-30 22:09:35.688205
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,58,14,mooreds,2026-08-30 22:09:35.688205
49485532,Does the Sumerian King List Align with Paleoclimate Events?,worldnews,133,80,dev_l1x_be,2026-08-30 22:09:35.688205
49475979,Interactive Warhammer 40k Galaxy Map,worldnews,157,57,gbxyz,2026-08-30 22:09:35.688205
49441316,Global demand for sand spawned a worldwide boom in illegal mining (2015),worldnews,77,29,EndXA,2026-08-30 22:09:35.688205
49490702,GrapheneOS project: pixel 11 no longer supports hardware memory tagging (MTE),worldnews,301,175,400thecat,2026-08-30 22:09:35.688205
49468834,Previewing the Model Hardware Standard,worldnews,134,59,surprisetalk,2026-08-30 22:09:35.688205
49464391,"US Government designates host of noblogs.org a ""global terrorist""",worldnews,279,157,robtherobber,2026-08-30 22:09:35.688205
49489939,Global Trade and the United States Navy,worldnews,7,2,Pwntheon,2026-08-30 22:09:35.688205
49432201,How credit card rewards became a $9.2B wealth transfer,worldnews,255,451,conbrian,2026-08-30 22:09:35.688205
49496513,"What happens to a country when everyone leaves? Tuvalu, an island nation [video]",worldnews,6,0,thelastgallon,2026-08-30 22:09:35.688205
49495171,No Country for Mediocre Mathematicians,worldnews,30,8,reasonableklout,2026-08-30 22:09:35.688205
49479898,"Barrier lake continues to pose flood risk, China warns",worldnews,89,23,r721,2026-08-30 22:09:35.688205
49492432,Warp builds self-improving agents on Claude,worldnews,58,57,shenli3514,2026-08-30 22:09:35.688205
49425800,Vintage Artificial Intelligence: Before It Got Awkward,worldnews,163,31,signor_bosco,2026-08-30 22:09:35.688205
49422227,Characterizing Agentic Flooding of Government Services,worldnews,82,87,lensecat,2026-08-30 22:09:35.688205
49495977,America's long march toward Chinese-style surveillance state,worldnews,10,1,pir8life4me,2026-08-30 22:09:35.688205
49475404,"Climate change is strengthening El Niño, coral records suggest",worldnews,121,123,shymaple,2026-08-30 22:09:35.688205
49454366,Six government passport CAs that Python rejects and OpenSSL accepts,worldnews,18,6,Eginn-33,2026-08-30 22:09:35.688205
49479872,Army Awards $2.2B for 'Microreactors' On U.S. Bases,worldnews,19,3,lxm,2026-08-30 22:09:35.688205
49435495,"Otto Dix, Nietzsche, and the Great War (2019)",worldnews,42,28,samizdis,2026-08-30 22:09:35.688205
49497819,An implementation of Conway's Game of Life for Windows 3.1x and later,sports,32,4,Bluestein,2026-08-30 22:09:37.693018
49499924,12TB Steam leak reveals unseen Half-Life 2: Episode 3 builds,sports,5,0,sbulaev,2026-08-30 22:09:37.693018
